Input.sentence,Input.info,Answer.MakeSense.on,Answer.rewrite
The offering Series 1989-83 is backed by Fannie Mae 9 % securities,[ 'series' 'OF' 'lights' ],FALSE,The offering Series of lights 1989 83 is backed by Fannie Mae 9 percent securities
The offering Series 1989-83 is backed by Fannie Mae 9 % securities,[ 'series' 'of ski gates' ],FALSE,The offering Series of ski gates 1989 83 is backed by Fannie Mae 9 percent securities
Its high for the past year was 16.375 a share,[ 'high' 'heel' 'heel' ],FALSE,NA
The offering Series 1989-83 is backed by Fannie Mae 9 % securities,[ 'security' 'ON' 'court' ],FALSE,The offering Series 1989 83 is backed by Fannie Mae 9 percent securities on court
Earnings have plummeted too in each of the past three quarters,[ 'quarter' 'silver' ],FALSE,Earnings have plummeted too in each of the past three silver quarters
A bankruptcy court hearing is set for Nov. 3 on these accords,[ 'court' 'with' 'line' ],FALSE,A bankruptcy court with line hearing is set for Nov 3 on these accords
After being whipsawed by a volatile stock market Treasury bonds closed higher,[ 'stock' 'OF' 'broccoli' ],FALSE,After being whipsawed by a volatile stock of broccoli market Treasury bonds closed higher
After being whipsawed by a volatile stock market Treasury bonds closed higher,[ 'market' 'IN' 'container' ],FALSE,After being whipsawed by a volatile stock market in a container Treasury bonds closed higher
He is president and chief executive officer of Comerica Inc. in Detroit,[ 'president' 'ON' 'television' ],TRUE,He is the president on television and chief executive officer of Comerica Inc in Detroit
Dick Darman call your office,[ 'office' 'set' 'up' ],FALSE,Dick Darman call your set up office
REPAIR SHOPS SCRAP for more access to work on auto-emissions systems,[ 'repair' 'ON' 'wall' ],FALSE,Repair on the wall shops scrap for more access to work on auto emissions systems
For them it makes all kinds of sense,[ 'kind' 'ON' 'sidewalk' ],FALSE,For them is makes all kinds on the sidewalk of sense
He is president and chief executive officer of Comerica Inc. in Detroit,[ 'spoon' 'next to' 'chief' ],FALSE,He is president and spoon next to the chief executive officer of Comerica Inc in Detroit
REPAIR SHOPS SCRAP for more access to work on auto-emissions systems,[ 'shop' 'selling' 'stuffed animals' ],TRUE,Repair shops selling stuffed animals scrap for more access to work on auto emissions systems
White children empty the wastepaper baskets and squeegee the windows,[ 'child' 'has' 'hair' ],TRUE,White children that have hair empty the wastepaper baskets and squeegee the windows
Freddie Mac 9 % securities were at 97 4\/32 down 1\/32,[ 'security' 'over' 'doors' ],FALSE,Freddie Mac 9 percent securities over doors were at 97 4V32 down 1V32
REPAIR SHOPS SCRAP for more access to work on auto-emissions systems,[ 'access' 'ON' 'platform' ],TRUE,Repair shops scrap for more access on the platform to work on auto emissions systems
More recently Sotheby 's has predicted the collection will fetch 140 million,[ 'collection' 'small' ],TRUE,More recently Sothebys has predicted the small collection will fetch 140 million
The first Merkur the XR4Ti went on sale in early 1985,[ 'sale' 'ON' 'window' ],FALSE,The first Merkur the XR4Ti went on sale on the window in early 1985
White children empty the wastepaper baskets and squeegee the windows,[ 'window' 'ON' 'bus' ],TRUE,White children empty the wastepaper baskets and squeegee the windows on the bus
Several projects he said are still on the drawing board,[ 'board' 'above' 'base' ],FALSE,Several projects he said are still on the drawing board above the base
Serial bonds are priced to yield to 7.10 % in 1999,[ 'bond' 'black ' ],FALSE,Serial black bonds are priced to yield to 7 10 percent in 1999
New trade accords were signed,[ 'company name' 'says' 'trade' ],FALSE,New company name says trade accord were signed
They want late-night shuttles to the biology labs,[ 'shuttle' 'has a' 'logo' ],TRUE,They want late night shuttles that have a logo to the biology labs
Jackets may be sold next,[ 'jacket' 'black' ],TRUE,Black jackets may be sold next
THE YALE POLITICAL UNION does n't pay an honorarium to speakers,[ 'union' 'word' ],FALSE,The Yale political word union does not pay an honorarium to speakers
But steelmakers must also find new markets,[ 'market' 'filled with' 'green peppers' ],FALSE,But steelmakers must also find new markets with green peppers
"Unemployment in September dropped to 1,695,000 the lowest level since 1980",[ 'level' 'has' 'light' ],FALSE,Unemployment in September dropped to 1695000 the lowest level that has light since 1980
The states have their own ideas about regulation and certification,[ 'state' 'Penn ' ],FALSE,The Penn states have their own ideas about regulation and certification
Perhaps in time the Supreme Court will correct them,[ 'time' 'displayed' ],FALSE,Perhaps in time displayed the Supreme Court will correct them
Mr. Locke teaches English and comparative literature at Columbia University,[ 'literature' 'ON' 'keyboard' ],FALSE,Mr Locke teaches English and comparative literature on the keyboard at Columbia University
The states have their own ideas about regulation and certification,[ 'regulation' 'size white' 'base' ],FALSE,The states have their own ideas about size white base regulation and certification
Cincinnati Bell Inc. said net declined 1.8 %,[ 'net' 'ON' 'court' ],FALSE,Cincinnati Bell Inc said net on the court declined 1 8 percent
The Japanese take the long view said Mr. Veronis,[ 'baner' 'IN' 'japanese' ],FALSE,The baner in Japanese take the long view said Mr Veronis
Cincinnati Bell Inc. said net declined 1.8 %,[ 'net' 'black' ],FALSE,Cincinnati Bell Inc said black net declined 1 8 percent
The Japanese take the long view said Mr. Veronis,[ 'view' 'OF' 'sky' ],TRUE,The Japanese take the long view of the sky said Mr Veronis
Manufacturers too are stretching further to lure buyers,[ 'manufacturer' 'OF' 'bus' ],TRUE,Manufacturers of the bus too are stretching further to lure buyers
The Japanese take the long view said Mr. Veronis,[ 'view' 'beautiful' ],TRUE,The Japanese take the long beautiful view said Mr Veronis
I do n't think the Bush administration has done anything he says,[ 'part' 'of a speaker not connected to' 'anything' ],FALSE,NA
Marketing and sales departments then urged abandonment of the pico project,[ 'sale' 'ON' 'window' ],FALSE,Marketing and sales on window departments then urged abandonment of the pico project
Trading in cotton and sugar was nervous and showed small declines,[ 'red t' 'IN' 'trading' ],FALSE,Red t in trading in cotton and sugar was nervous and showed small declines
Known as Easy Eggs the product has disappointed investors,[ 'product' 'ON' 'shelf' ],TRUE,Known as Easy Eggs the product on the shelf has disappointed investors
In September Kellogg Co. launched a competing psyllium-fortified cereal called Heartwise,[ 'cereal' 'brown' ],TRUE,In September Kellogg Co launched a competing psyllium fortified brown cereal called Heartwise
Some companies including Heinz even pay part of the fee,[ 'company' 'OF' 'train' ],FALSE,Some companies of train including Heinz even pay part of the fee
Some companies including Heinz even pay part of the fee,[ 'part' 'OF' 'donut.' ],FALSE,Some companies including Heinz even pay part of a donut of the fee
Marketing and sales departments then urged abandonment of the pico project,[ 'project' 'sewing' ],TRUE,Marketing and sales departments then urged abandonment of the pico sewing project
They build extended minivans and the Dodge Spirit Acclaim Shadow and Sundance,[ 'minivan' 'on top of' 'road' ],TRUE,They build extended minivans on top of the road and the Dodge Spirit Acclaim Shadow and Sundance
But the handlers mistakenly stuck with silicon chips they needed kryptonite,[ 'chip' 'chocolate' ],FALSE,But the handlers mistakenly stuck with silicon chocolate chips when they needed kryptonite
They build extended minivans and the Dodge Spirit Acclaim Shadow and Sundance,[ 'minivan' 'parked' ],FALSE,They build extended parked minivans and the Dodge Spirit Acclaim Shadow and Sundance
A hundred billion dollars in stock was subject to it,[ 'dollar' 'ON' 'table' ],TRUE,A hundred billion dollars on the table in stock was subject to it
A hundred billion dollars in stock was subject to it,[ 'dollar' 'twenty' ],TRUE,A hundred billion and twenty dollars in stock was subject to it
But the specialty-material segment slowed somewhat and consumer products continued below expectations,[ 'segment' 'of citrus fruit' ],FALSE,But the specialty-material segment of citrus fruit slowed somewhat and consumer products continued below expectations
Trading in cotton and sugar was nervous and showed small declines,[ 'sugar' 'powdered' ],TRUE,Trading in cotton and powdered sugar was nervous and showed small declines
A hundred billion dollars in stock was subject to it,[ 'stock' 'OF' 'broccoli' ],TRUE,A hundred billion dollars in stock of broccoli was subject to it
Aldus Seattle makes computer software products,[ 'computer' 'has' 'screen' ],FALSE,Aldus Seattle makes computer with a screen software products
A hundred billion dollars in stock was subject to it,[ 'stock' 'green' ],TRUE,A hundred billion dollars in green stock was subject to it
But the specialty-material segment slowed somewhat and consumer products continued below expectations,[ 'product' 'bathroom' ],TRUE,But the specialty-material segment slowed somewhat and consumer bathroom products continued below expectations
The second portion will be completed the following year,[ 'portion' 'OF' 'wall' ],TRUE,The second portion of the wall will be completed the following year
Trading in cotton and sugar was nervous and showed small declines,[ 'decline' ' of grass' ],FALSE,Trading in cotton and sugar was nervous and showed small declines of grass
Among the biggest winners were brokerage-house stocks responding to heavy trading volume,[ 'winner' 'standing on' 'box' ],TRUE,Among the biggest winners standing on the box were brokerage-house stocks responding to heavy trading volume
The second portion will be completed the following year,[ 'portion' 'white' ],TRUE,The second white portion will be completed the following year
Aldus Seattle makes computer software products,[ 'product' 'on top of' 'counter' ],TRUE,Aldus Seattle makes computer software products on top of the counter
Among the biggest winners were brokerage-house stocks responding to heavy trading volume,[ 'winner' '2nd place' ],TRUE,Among the biggest 2nd place winners were brokerage-house stocks responding to heavy trading volume
The second portion will be completed the following year,[ 'year' 'IN' 'left corner' ],FALSE,The second portion will be completed the following year in the left corner
Aldus Seattle makes computer software products,[ 'product' 'bathroom' ],FALSE,Aldus Seattle makes computer software bathroom products
The second portion will be completed the following year,[ 'year' 'white' ],FALSE,The second portion will be completed the following white year
Among the biggest winners were brokerage-house stocks responding to heavy trading volume,[ 'stock' 'green' ],TRUE,Among the biggest winners were brokerage-house green stocks responding to heavy trading volume
The most obvious pitch of course is the lure of big returns,[ 'pitch' 'has' 'white lines' ],FALSE,The most obvious pitch with white lines of course is the lure of big returns
I was never a rebel he said in an earlier interview,[ 'interview' 'media' ],TRUE,I was never a rebel he said in an earlier media interview
Competitors are known as the enemy,[ 'competitor' 'number' '693' ],TRUE,Competitor number 693 is known as the enemy
Ms. House is vice president of Dow Jones International Group,[ 'vice' 'blue' ],FALSE,Ms. House is blue vice president of Dow Jones International Group
The most obvious pitch of course is the lure of big returns,[ 'pitch' 'green' ],TRUE,The most obvious green pitch of course is the lure of big returns
The IRA portion of the Packwood-Roth plan is irresponsible,[ 'portion' 'OF' 'coat' ],FALSE,The IRA portion of a coat of the Packwood-Roth plan is irresponsible
The IRA portion of the Packwood-Roth plan is irresponsible,[ 'plan' 'ON' 'ground' ],TRUE,The IRA portion of the Packwood-Roth plan on the ground is irresponsible
The most obvious pitch of course is the lure of big returns,[ 'return' 'ON' 'street' ],TRUE,The most obvious pitch of course is the lure of big returns on the street
The acceptances give Orkem a controlling 53.2 % stake in the company,[ 'stake' 'ON' 'table' ],TRUE,The acceptances give Orkem a controlling 53.2 % stake on the table in the company
The IRA portion of the Packwood-Roth plan is irresponsible,[ 'plan' 'air' ],TRUE,The IRA portion of the Packwood-Roth air plan is irresponsible
But reform has n't taken hold yet,[ 'hold' 'in side of' 'train' ],FALSE,But reform has n't taken hold in the side of a train yet
The acceptances give Orkem a controlling 53.2 % stake in the company,[ 'stake' 'wooden' ],FALSE,The acceptances give Orkem a controlling 53.2 % wooden stake in the company
Terms include a royalty arrangement but details were n't disclosed,[ 'arrangement' 'has a' 'flower' ],FALSE,Terms include a royalty arrangement with a flower but details were n't disclosed
But the U.S. companies are redoubling their efforts,[ 'company' 'name' ],FALSE,But the U.S. companies' names are redoubling their efforts
Terms include a royalty arrangement but details were n't disclosed,[ 'arrangement' 'floral' ],FALSE,Terms include a royalty floral arrangement but details were n't disclosed
When selling is so frenzied prices fall steeply and fast,[ 'price' 'OF' 'apples' ],TRUE,When selling is so frenzied prices of apples fall steeply and fast
The acceptances give Orkem a controlling 53.2 % stake in the company,[ 'company' 'OF' 'company' ],FALSE,The acceptances give Orkem a controlling 53.2 % stake in the company of the company
The company had a loss from operations of 1.7 million,[ 'company' 'name' ],FALSE,The company name had a loss from operations of 1.7 million
The most obvious pitch of course is the lure of big returns,[ 'return' 'black' ],FALSE,The most obvious pitch of course is the lure of big black returns
Simply put there is n't enough business for every store to grow,[ 'business' 'logo on' 'wall' ],FALSE,Simply put there is n't enough business logo on the wall for every store to grow
Michael late yesterday announced a 3.8 million stock buy-back program,[ 'stock' 'of' 'stock' ],FALSE,Michael late yesterday announced a 3.8 million stock of stock buy-back program
Simply put there is n't enough business for every store to grow,[ 'business' 'here' ],TRUE,Simply put there is n't enough business here for every store to grow
Others prefer deep-discount zero-coupon bonds,[ 'others' 'three' ],TRUE,Three others prefer deep-discount zero-coupon bonds
A year later she moved to the commercial property claims division,[ 'year' 'white' ],FALSE,A white year later she moved to the commercial property claims division
Ms. Bartlett would not discuss her garden for this article,[ 'article' 'ON' 'chair' ],FALSE,Ms. Bartlett would not discuss her garden for this article on the chair
Others prefer deep-discount zero-coupon bonds,[ 'bond' 'black ' ],TRUE,Others prefer deep-discount zero-coupon black bonds
A total of 157 lawsuits were filed on behalf of crash victims,[ 'crash' 'OF' 'wave' ],TRUE,A total of 157 lawsuits were filed on behalf of crash of wave victims
Ms. Bartlett would not discuss her garden for this article,[ 'article' 'newspaper' ],TRUE,Ms. Bartlett would not discuss her garden for this newspaper article
Michael late yesterday announced a 3.8 million stock buy-back program,[ 'stock' 'green' ],TRUE,Michael late yesterday announced a 3.8 million green stock buy-back program
Simply put there is n't enough business for every store to grow,[ 'store' 'red' ],TRUE,Simply put there is n't enough business for every red store to grow
Michael late yesterday announced a 3.8 million stock buy-back program,[ 'program' 'ON' 'monitor' ],FALSE,Michael late yesterday announced a 3.8 million stock buy-back program on the monitor
Two big stocks involved in takeover activity saw their short interest surge,[ 'stock' 'of' 'stock' ],FALSE,Two big stocks of stock involved in takeover activity saw their short interest surge
The price was n't disclosed,[ 'price' 'written' ],TRUE,The written price was n't disclosed
Brooks Armored Car Service Inc. never wanted to get into money laundering,[ 'money' 'ON' 'table' ],TRUE,Brooks Armored Car Service Inc. never wanted to get into money on the table laundering
Two big stocks involved in takeover activity saw their short interest surge,[ 'stock' 'green' ],TRUE,Two big green stocks involved in takeover activity saw their short interest surge
But observers expect broad support,[ 'observer' 'standing' ],TRUE,But standing observers expect broad support
Brooks Armored Car Service Inc. never wanted to get into money laundering,[ 'money' 'paper' ],TRUE,Brooks Armored Car Service Inc. never wanted to get into paper money laundering
Two big stocks involved in takeover activity saw their short interest surge,[ 'activity' 'IN' 'bathroom' ],FALSE,Two big stocks involved in takeover activity in a bathroom saw their short interest surge
Under the program Norfolk plans to acquire shares in the open market,[ 'program' 'on a' 'television' ],FALSE,Under the program on a television Norfolk plans to acquire shares in the open market
Population Drain Ends For Midwestern States,[ 'drain' 'IN' 'tub' ],FALSE,Population Drain in the tub Ends For Midwestern States
Two big stocks involved in takeover activity saw their short interest surge,[ 'people' 'showing' 'interest' ],FALSE,Two big stocks involved in takeover activity saw their short people showing interest surge
Under the program Norfolk plans to acquire shares in the open market,[ 'program' 'wedding' ],FALSE,Under the wedding program Norfolk plans to acquire shares in the open market
Population Drain Ends For Midwestern States,[ 'drain' 'silver' ],FALSE,Population Silver Drain Ends For Midwestern States
Two big stocks involved in takeover activity saw their short interest surge,[ 'interest' 'great' ],FALSE,Two big stocks involved in takeover activity saw their short great interest surge
Under the program Norfolk plans to acquire shares in the open market,[ 'market' 'OF' 'fruit' ],FALSE,Under the program Norfolk plans to acquire shares in the open market of fruit
The scientists have experimented on the tiny neck arteries of rats,[ 'scientist' 'experimenting with' 'three birds' ],TRUE,The scientists experimenting with three birds have experimented on the tiny neck arteries of rats
The scientists have experimented on the tiny neck arteries of rats,[ 'neck' 'OF' 'pigeon' ],FALSE,The scientists have experimented on the tiny neck of a pigeon arteries of rats
Population Drain Ends For Midwestern States,[ 'state' 'Penn ' ],FALSE,Population Drain Ends For Midwestern Penn States
Under the program Norfolk plans to acquire shares in the open market,[ 'market' 'outdoor' ],TRUE,Under the program Norfolk plans to acquire shares in the open outdoor market
The assembly plant is scheduled to resume production on Oct. 30,[ 'assembly' 'rear end' ],TRUE,The rear end assembly plant is scheduled to resume production on Oct. 30
One airline executive who declined to be identified called the loss amazing,[ 'airline' 'emirates' ],TRUE,One Emirates airline executive who declined to be identified called the loss amazing
The scientists have experimented on the tiny neck arteries of rats,[ 'rat' 'white' ],TRUE,The scientists have experimented on the tiny neck arteries of white rats
The assembly plant is scheduled to resume production on Oct. 30,[ 'plant' 'growing from' 'branch' ],FALSE,The assembly plant growing from a branch is scheduled to resume production on Oct. 30
One airline executive who declined to be identified called the loss amazing,[ 'executive' 'in white' ],TRUE,One airline executive in white who declined to be identified called the loss amazing
The Treasury 's benchmark 30-year bond rose 1\/8 point,[ 'bond' 'black ' ],TRUE,The Treasury 's benchmark 30-year black bond rose 1\/8 point
It adds something to the market,[ 'something' 'IN' 'usb slot' ],FALSE,It adds something in a USB slot to the market
Analysts predict little or no near-term growth,[ 'growth' 'ON' 'hillside' ],TRUE,Analysts predict little or no near-term growth on the hillside
Cincinnati Microwave Inc. said it introduced two radar detectors,[ 'detector' 'white' ],TRUE,Cincinnati Microwave Inc. said it introduced two radar detectors that are white
Analysts predict little or no near-term growth,[ 'growth' 'green' ],TRUE,Analysts predict little or no near-term green growth
Investors with a heavy tax load should take out their calculators,[ 'load' 'ON' 'airplane' ],FALSE,Investors with a heavy tax load on an airplane should take out their calculators
Sales rose 8.4 % to 27.95 billion from 25.78 billion,[ 'sale' 'ON' 'window' ],TRUE,Sales on windows rose 8.4 % to 27.95 billion from 25.78 billion
Yet these figures show only the most visible part of the problem,[ 'figure' 'ON' 'pole' ],TRUE,Yet these figures on a pole show only the most visible part of the problem
Sales rose 8.4 % to 27.95 billion from 25.78 billion,[ 'sale' 'red' ],TRUE,Red sales rose 8.4 % to 27.95 billion from 25.78 billion
Yet these figures show only the most visible part of the problem,[ 'figure' 'green' ],TRUE,Yet these green figures show only the most visible part of the problem
We 've got a lot to do he acknowledged,[ 'lot' 'with a' 'fence' ],FALSE,We 've got a lot with a fence to do he acknowledged
Investors with a heavy tax load should take out their calculators,[ 'calculator' 'ON' 'keyboard' ],TRUE,Investors with a heavy tax load should take out their calculators on keyboards
We 've got a lot to do he acknowledged,[ 'lot' 'parking' ],FALSE,We 've got a parking lot to do he acknowledged
It is fun competing as a private company Mr. Brawer says,[ 'company' 'ON' 'bus' ],TRUE,It is fun competing as a private company on a bus Mr. Brawer says
The portfolio currently includes 95 million in receivables GE Capital said,[ 'portfolio' 'ON' 'desk' ],TRUE,The portfolio on the desk currently includes 95 million in receivables GE Capital said
The increase was spread fairly evenly among all three types of funds,[ 'type' 'OF' 'bread' ],FALSE,The increase was spread fairly evenly among all three types of bread of funds
Analysts said the move could presage even harsher action by the banks,[ 'mechanism' 'makes it' 'move' ],TRUE,Analysts said the mechanism that makes it move could presage even harsher action by the banks
The increase was spread fairly evenly among all three types of funds,[ 'type' 'black' ],TRUE,The increase was spread fairly evenly among all three black types of funds
It is fun competing as a private company Mr. Brawer says,[ 'company' 'name' ],TRUE,It is fun competing as a private company name Mr. Brawer says
The portfolio currently includes 95 million in receivables GE Capital said,[ 'portfolio' 'black' ],TRUE,The black portfolio currently includes 95 million in receivables GE Capital said
Kodak hired Robert Buzzell and Polaroid brought in Robert J. Dolan,[ 'kodak' 'camera' ],TRUE,Kodak Camera hired Robert Buzzell and Polaroid brought in Robert J. Dolan
Buy stocks on weakness for their long-term fundamentals he says,[ 'stock' 'of' 'stock' ],FALSE,Buy stocks of stock on weakness for their long-term fundamentals he says
The group consists of Weslock Corp. and JPI Modern Inc,[ 'group' 'large' ],TRUE,The large group consists of Weslock Corp. and JPI Modern Inc
Analysts said the move could presage even harsher action by the banks,[ 'action' 'MLB' ],FALSE,Analysts said the move could presage even harsher MLB action by the banks
So what 's the catch,[ 'catch' 'FRISBEE' ],FALSE,So what 's the Frisbee catch
Taiwan officials are expected to review the Shearson application later this year,[ 'official' 'STANDING BEHIND' 'court' ],TRUE,Taiwan officials standing behind the court are expected to review the Shearson application later this year
The Merksamer bankruptcy-law filing appears to supersede that agreement,[ 'filing' 'cabinet with pull' 'drawers' ],FALSE,The Merksamer bankruptcy-law filing cabinet with pull drawers appears to supersede that agreement
The shipments went mostly to food-service distributors that supply pizzerias and restaurants,[ 'shipment' 'IN' 'boxes' ],TRUE,The shipments in boxes went mostly to food-service distributors that supply pizzerias and restaurants
Eventually Mr. Postel broke his toe in the dark,[ 'toe' 'white' ],FALSE,Eventually Mr. Postel broke his white toe in the dark
The Merksamer bankruptcy-law filing appears to supersede that agreement,[ 'filing' 'red' ],TRUE,The Merksamer bankruptcy-law red filing appears to supersede that agreement
The shipments went mostly to food-service distributors that supply pizzerias and restaurants,[ 'restaurant' 'has' 'customers' ],TRUE,The shipments went mostly to food-service distributors that supply pizzerias and restaurants that have customers
Eventually Mr. Postel broke his toe in the dark,[ 'dark' 'furniture' ],FALSE,Eventually Mr. Postel broke his toe in the dark furniture
The shipments went mostly to food-service distributors that supply pizzerias and restaurants,[ 'restaurant' 'busy' ],TRUE,The shipments went mostly to food-service distributors that supply pizzerias and busy restaurants
Maybe people do n't believe I want to give this money away,[ 'people' 'sitting in' 'bleachers' ],TRUE,Maybe people sitting in bleachers do n't believe I want to give this money away
The government built ports bridges highways schools hospitals and railways,[ 'port' 'IN' 'computer' ],TRUE,The government built ports in computers bridges highways schools hospitals and railways
Taiwan officials are expected to review the Shearson application later this year,[ 'year' 'IN' 'corner' ],FALSE,Taiwan officials are expected to review the Shearson application later this year in the corner
Maybe people do n't believe I want to give this money away,[ 'people' 'standing' ],TRUE,Maybe people who are standing do n't believe I want to give this money away
Afterwards I went home and practiced for three hours,[ 'home' 'white' ],FALSE,N/A
Maybe people do n't believe I want to give this money away,[ 'money' 'ON' 'table' ],TRUE,Maybe people do n't believe I want to give this money on the table away
Passive Components makes capacitors and filters used to protect electronics,[ 'filter' 'ON' 'plate' ],TRUE,Passive Components makes capacitors and filters on plates used to protect electronics
They did n't return the rubber stocks that represent his capital,[ 'rubber' 'black' ],TRUE,They did n't return the black rubber stocks that represent his capital
That 's about half the price of comparably equipped IBM mainframes,[ 'half' 'has' 'lettuce' ],FALSE,N/A
Passive Components makes capacitors and filters used to protect electronics,[ 'filter' 'white' ],TRUE,Passive Components makes capacitors and white filters used to protect electronics
The government built ports bridges highways schools hospitals and railways,[ 'bridge' 'metal' ],TRUE,The government built ports metal bridges highways schools hospitals and railways
The government built ports bridges highways schools hospitals and railways,[ 'highway' 'above' 'road' ],TRUE,The government built ports bridges highways above roads schools hospitals and railways
Passive Components makes capacitors and filters used to protect electronics,[ 'electronics' 'under' 'stand' ],TRUE,Passive Components makes capacitors and filters used to protect electronics under a stand
They did n't return the rubber stocks that represent his capital,[ 'stock' 'green' ],TRUE,They did n't return the rubber stocks that are green that represent his capital
The government built ports bridges highways schools hospitals and railways,[ 'highway' 'busy' ],TRUE,The government built ports bridges busy highways schools hospitals and railways
They did n't return the rubber stocks that represent his capital,[ 'capital' 'a' ],FALSE,They did n't return the rubber stocks that represent his capital A
The heavy selling by farmers helped to damp the price rally,[ 'farmer' 'WEARING' 'hat' ],TRUE,The heavy selling by farmers wearing hats helped to damp the price rally
Passive Components makes capacitors and filters used to protect electronics,[ 'electronics' 'black' ],TRUE,Passive Components makes capacitors and filters used to protect black electronics
The government built ports bridges highways schools hospitals and railways,[ 'hospital' 'sponser' 'match' ],TRUE,The government built ports bridges highways schools hospitals that sponsor matches and railways
The heavy selling by farmers helped to damp the price rally,[ 'farmer' 'holding' ],TRUE,The heavy selling by farmers who are holding helped to damp the price rally
Ms. McGlade of PaineWebber raised a more fundamental question about the deal,[ 'question' 'black' ],FALSE,Ms. McGlade of PaineWebber raised a more fundamental black question about the deal
The government built ports bridges highways schools hospitals and railways,[ 'hospital' 'mental' ],TRUE,The government built ports bridges highways schools mental hospitals and railways
The government built ports bridges highways schools hospitals and railways,[ 'railway' 'has' 'line' ],TRUE,The government built ports bridges highways schools hospitals and railways with a line
Ms. McGlade of PaineWebber raised a more fundamental question about the deal,[ 'deal' 'OF' 'bananas' ],FALSE,Ms. McGlade of PaineWebber raised a more fundamental question about the deal of bananas
To date scientists have fingered two of these cancer-suppressors,[ 'scientist' 'has a' 'lab coat' ],TRUE,To date scientists that have a lab coat have fingered two of these cancer-suppressors
Jeanene Page of North Salt Lake City Utah likes the broader selection,[ 'selection' 'OF' 'pastries' ],TRUE,Jeanene Page of North Salt Lake City Utah likes the broader selection of pastries
The heavy selling by farmers helped to damp the price rally,[ 'price' 'written' ],TRUE,The heavy selling by farmers helped to damp the written price rally
Ms. McGlade of PaineWebber raised a more fundamental question about the deal,[ 'deal' 'great' ],TRUE,Ms. McGlade of PaineWebber raised a more fundamental question about the great deal
Jeanene Page of North Salt Lake City Utah likes the broader selection,[ 'selection' 'large' ],TRUE,Jeanene Page of North Salt Lake City Utah likes the broader large selection
That 's the path of reasoning leading to growth stocks,[ 'path' 'dirt' ],FALSE,That 's the dirt path of reasoning leading to growth stocks
In New York the company declined comment,[ 'company' 'ON' 'wing' ],FALSE,In New York the company on the wing declined comment
"New York Stock Exchange volume was a heavy 224,070,000 shares",[ 'volume' 'ON' 'headphones' ],FALSE,"New York Stock Exchange volume on the headphones was a heavy 224,070,000 shares"
We think everything will go this way in a few years,[ 'way' 'walk' ],FALSE,We think everything will go this walk way in a few years
"New York Stock Exchange volume was a heavy 224,070,000 shares",[ 'volume' '3' ],FALSE,"New York Stock Exchange volume 3 was a heavy 224,070,000 shares"
That 's the path of reasoning leading to growth stocks,[ 'growth' 'green' ],TRUE,That 's the path of reasoning leading to green growth stocks
That indicates speculators are betting a higher offer is in the wings,[ 'wing' 'white' ],FALSE,That indicates speculators are betting a higher offer is in the white wings
We think everything will go this way in a few years,[ 'year' 'white' ],FALSE,We think everything will go this way in a few white years
Occasionally gross chromosome damage was visible,[ 'damage' 'ON' 'metal pole' ],FALSE,Occasionally gross chromosome damage on a metal pole was visible
That 's the path of reasoning leading to growth stocks,[ 'stock' 'green' ],TRUE,That 's the path of reasoning leading to growth stocks that are green
3 Develop rental agreements with exclusive purchase options for the renter,[ 'option' 'ON' 'phone' ],TRUE,3 Develop rental agreements with exclusive purchase options on the phone for the renter
Either way the ghostbusting business is going like gangbusters,[ 'business' 'ON' 'sidewalk' ],TRUE,Either way the ghostbusting business on the sidewalk is going like gangbusters
Occasionally gross chromosome damage was visible,[ 'damage' 'moisture' ],TRUE,Occasionally gross chromosome moisture damage was visible
One big technology issue Novell rode the roller coaster,[ 'technology' 'silver' ],TRUE,One big silver technology issue Novell rode the roller coaster
Cuban military personnel also have been active in Afghanistan since 1979,[ 'personnel' 'army' ],TRUE,Cuban military army personnel also have been active in Afghanistan since 1979
And he has worked to shed his raider image,[ 'image' 'OF' 'image' ],FALSE,And he has worked to shed his raider image of an image
Some hotels in the hurricane-stricken Caribbean promise money-back guarantees,[ 'hotel' 'large' ],TRUE,Some large hotels in the hurricane-stricken Caribbean promise money-back guarantees
TW 's junk bonds were n't as junk bonds go unusually weak,[ 'junk' 'lots' ],FALSE,TW 's junk lots bonds were n't as junk bonds go unusually weak
"Mr. Stein was fined 25,000 and suspended for three years",[ 'year' 'white' ],FALSE,"Mr. Stein was fined 25,000 and suspended for three white years"
TW 's junk bonds were n't as junk bonds go unusually weak,[ 'junk' 'behind' 'fence' ],FALSE,TW 's junk behind the fence bonds were n't as junk bonds go unusually weak
TW 's junk bonds were n't as junk bonds go unusually weak,[ 'junk' 'lots' ],FALSE,TW 's junk lots bonds were n't as junk bonds go unusually weak
Sales were flat at 7.88 billion,[ 'sale' 'red' ],TRUE,Red sales were flat at 7.88 billion
Separately Century Bank Phoenix Ariz. was closed by Arizona banking officials,[ 'official' 'ON' 'field' ],TRUE,Separately Century Bank Phoenix Ariz. was closed by Arizona banking officials on the field
"Oranjemund the mine headquarters is a lonely corporate oasis of 9,000 residents",[ 'oasis' 'IN' 'desert' ],TRUE,"Oranjemund the mine headquarters is a lonely corporate oasis in the desert of 9,000 residents"
Housing Developers Try Brand-Name Buildings,[ 'building' 'has' 'office' ],TRUE,Housing Developers Try Brand-Name Buildings that have offices
Other furriers have also benefited from leathers,[ 'leather' 'ON' 'saddle' ],TRUE,Other furriers have also benefited from leather on a saddle
